magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/srv/public_html/app/code/Infortis/UltraMegamenu/view/frontend/templates/mainmenu.phtml,0.037317,0.037317,1,"486,976",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/srv/public_html/app/code/Infortis/UltraMegamenu/view/frontend/templates/mainmenu.phtml->TEMPLATE:/srv/public_html/app/code/Infortis/UltraMegamenu/view/frontend/templates/navigation.phtml,0.034599,0.034599,1,"447,240",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/app/design/frontend/Infortis/base/Infortis_Base/templates/html/header.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-theme/view/frontend/templates/html/container.phtml->TEMPLATE:/srv/public_html/app/code/Infortis/UltraMegamenu/view/frontend/templates/mainmenu.phtml->TEMPLATE:/srv/public_html/app/code/Infortis/UltraMegamenu/view/frontend/templates/navigation.phtml->REWRITE: Magento\Catalog\Model\Category::getUrl",0.014744,0.000114,129,"37,944",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml,0.963080,0.963080,1,"9,002,496","10,485,760"
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection,0.043998,0.043998,1,"1,262,328","2,097,152"
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review,0.043975,0.043975,1,"1,260,712","2,097,152"
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection,0.036986,0.036986,1,"963,088","2,097,152"
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection->EAV: Magento\Eav\Model\Config::getAttribute",0.004048,0.000506,8,"37,232",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection->EAV: Magento\Eav\Model\Config::getAttribute->EAV: Magento\Eav\Model\Config::getEntityType",0.000101,0.000008,12,"1,336",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection->EAV: Magento\Eav\Model\Config::getAttribute->load_by_code",0.002458,0.001229,2,"15,288",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection->load_entities,0.006577,0.006577,1,"275,376","2,097,152"
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->EVENT:catalog_block_product_list_collection->OBSERVER:review->EAV:load_collection->after_load,0.001561,0.001561,1,"57,552",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml,0.917137,0.917137,1,"7,620,792","6,291,456"
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:core_collection_abstract_load_before,0.000512,0.000015,34,"-9,368",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:core_collection_abstract_load_after,0.000510,0.000015,34,"-9,368",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:view_block_abstract_to_html_before,0.001307,0.000009,140,"-40,744",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/product/list/toolbar.phtml,0.002813,0.002813,1,"15,944",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:view_block_abstract_to_html_after,0.001247,0.000009,140,"-42,984",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:core_layout_render_element,0.001621,0.000038,43,"36,760",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:core_layout_render_element->OBSERVER:pagecache,0.000841,0.000020,43,"10,952",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/product/image_with_borders.phtml,0.003102,0.000155,20,"12,280",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EAV: Magento\Eav\Model\Config::getAttribute",0.002545,0.000040,63,"12,912",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EAV: Magento\Eav\Model\Config::getAttribute->EAV: Magento\Eav\Model\Config::getEntityType",0.000358,0.000008,44,"2,872",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EAV: Magento\Eav\Model\Config::getAttribute->load_by_code",0.001049,0.001049,1,"7,632",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/vendor/magento/module-review/view/frontend/templates/helper/summary_short.phtml,0.010200,0.000510,20,"65,088",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/app/design/frontend/gq/ultimo_child/Magento_Catalog/templates/product/price/final_price.phtml,0.057512,0.002876,20,"517,824",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/app/design/frontend/gq/ultimo_child/Magento_Catalog/templates/product/price/final_price.phtml->EAV: Magento\Eav\Model\Config::getAttribute",0.001713,0.000086,20,"13,576",0
"magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/app/design/frontend/gq/ultimo_child/Magento_Catalog/templates/product/price/final_price.phtml->EAV: Magento\Eav\Model\Config::getAttribute->load_by_code",0.001152,0.001152,1,"8,040",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->TEMPLATE:/srv/public_html/app/design/frontend/gq/ultimo_child/Magento_Catalog/templates/product/price/final_price.phtml->EVENT:view_block_abstract_to_html_before,0.000209,0.000013,16,"-3,912",0
